address,number,municipality,latitude,longitude,id,postal_code,province
Vorselaarsebaan,60,Herentals,51.18999575,4.8190591591404175,4385.0,2200.0,Antwerpen
Kattevennen ,15,Genk,50.955615249999994,5.533209418743297,4386.0,3600.0,Limburg
Rue Vanbeneden ,5,Frasnes-lez-Gosselies,50.5356568,4.44508,4387.0,6210.0,Hainaut
Rue du Moulin ,12,Hélécine,50.74229165,4.982992762671905,4388.0,1357.0,Brabant Wallon
Rue de Mons ,1,Bombaye,50.7329725,5.7229908,4389.0,4607.0,Liège
Rue des Combattants,59,La hulpe,50.73126925,4.489220869439803,4390.0,1310.0,Brabant Wallon
Hof Ter Hillestraat,1,Oostduinkerke,51.11172675,2.701483746113688,4391.0,8670.0,West-Vlaanderen
Chemin des Amours,1,Sivry-Rance,50.1684396,4.1822134566778875,4392.0,6470.0,Hainaut
Rue de Caraman,13,Boussu,50.4346064,3.7936385,4393.0,7300.0,Hainaut
Rue Léon Bernus ,9,Charleroi,50.4141419,4.449366783203865,4397.0,6000.0,Hainaut
Rue de Lobbes ,2,Thuin,50.3398553,4.2680897,4399.0,6530.0,Hainaut
Rue Fond des Fourches ,20,Vottem,50.680974,5.5762585,4401.0,4041.0,Liège
Rue de Sambre ,22,Enghien,50.6958286,4.038252341089111,4402.0,7850.0,Hainaut
Avenue Mounier ,83,Bruxelles,50.85099835,4.456014151783768,4403.0,1200.0,Bruxelles-Brussel
Boulevard de la Plaine ,9,Bruxelles,50.8206024,4.3921906,4404.0,1050.0,Bruxelles-Brussel
Rue de Fer ,0,Namur,50.4655684,4.8651746,4405.0,5000.0,Namur
Rue de Fer ,0,Namur,50.4655684,4.8651746,4408.0,5000.0,Namur
Rue Frères Biéva ,242,Vedrin,50.487372,4.8750091,4409.0,5020.0,Namur
Atletiekstraat,1,Hemiksem,51.1351707,4.342467351921423,4410.0,2620.0,Antwerpen
Chemin St Antoine ,5,Marche-en-Famenne,50.225064,5.332125158281416,4411.0,6900.0,Luxembourg
Diestsesteenweg,52,Kessel-Lo,50.88349675,4.718250456450777,4413.0,3010.0,Vlaams-Brabant
Argonnestraat,37,Brussel,50.83678275,4.340395085310071,4414.0,1060.0,Bruxelles-Brussel
Industriestraat,42,Ruiselede,51.043186250000005,3.4104478996757015,4415.0,8755.0,West-Vlaanderen
Schependomstraat,4,Tielt,50.99973195,3.3177566257052833,4416.0,8700.0,West-Vlaanderen
Avenue Théo Verbeeck ,2,Bruxelles,50.8328409,4.298074,4417.0,1070.0,Bruxelles-Brussel
Avenue Théo Verbeeck ,2,Bruxelles,50.8328409,4.298074,4418.0,1070.0,Bruxelles-Brussel
Rue Malgrave ,3,Malmédy,50.4272806,6.025959494111185,4419.0,4960.0,Liège
Rue de la Cure,1,Walhain,50.640226,4.7215796,4420.0,1457.0,Brabant Wallon
Sint-Michielswarande ,30,Brussel,50.8366748,4.4010968,4421.0,1040.0,Bruxelles-Brussel
Mgr. Ladeuzeplein ,21,Leuven,50.87799745,4.7073196316871515,4422.0,3000.0,Vlaams-Brabant
Celestijnenlaan ,200,Heverlee,50.8640987,4.6757709,4423.0,3001.0,Vlaams-Brabant
Herestraat,49,Leuven,50.87987205,4.673798286801558,,3000.0,Vlaams-Brabant
Tiensestraat ,41,Leuven,50.9822172,4.836328067327769,,3000.0,Vlaams-Brabant
Dekenstraat ,4,Leuven,50.8739116,4.708282297727273,4426.0,3000.0,Vlaams-Brabant
Charles Deberiotstraat ,24,Leuven,50.8761967,4.7031205,4427.0,3000.0,Vlaams-Brabant
Allée des Mésanges ,14,Loverval,50.370852,4.4662235059140425,4428.0,6280.0,Hainaut
Rue de Limbourg ,280,Lontzen,50.6799904,6.0073850012141605,4429.0,4710.0,Liège
Rue du Village ,0,Lontzen,50.6752226,6.047201,4430.0,4710.0,Liège
Voie d Hainin,27,Boussu,50.4337902,3.7912881,4432.0,7300.0,Hainaut
Rue de Landen ,43,Hannut,50.67705045,5.081113289029267,4434.0,4280.0,Liège
Rue des Combattants,0,Hannut,50.6740835,5.0850164,4435.0,4280.0,Liège
Rue des Combattants,1,Hannut,50.67526615,5.083598224964445,4436.0,4280.0,Liège
Rue de Tirlemont ,51,Hannut,50.6741789,5.07414745,4437.0,4280.0,Liège
Rue Mattot,135,Waterloo,50.71069675,4.378686420956861,4439.0,1410.0,Brabant Wallon
Rue du Ménil ,3,Waterloo,50.6959369,4.402326948675903,4440.0,1410.0,Brabant Wallon
Bellestraat,99,Affligem,50.89607385,4.1117993348877055,4441.0,1790.0,Vlaams-Brabant
Doornlarenhoofdstraat ,0,Sint-Genesius-Rode,50.7433222,4.3514763,4442.0,1640.0,Vlaams-Brabant
Dorpsstraat,46,Sint-Genesius-Rode,50.7454017,4.346004725597426,4443.0,1640.0,Vlaams-Brabant
Rue Royale,2,Brussel,50.8428126,4.3600026,4444.0,1000.0,Bruxelles-Brussel
Rue Royale,2,Brussel,50.8428126,4.3600026,4445.0,1000.0,Bruxelles-Brussel
Bedrijfsstraat ,1208,Opglabbeek,51.03773435,5.535618488247081,4446.0,3660.0,Limburg
Rue du Beauregard ,11,Carnières,50.4422579,4.269507,4448.0,7141.0,Hainaut
Stationsstraat ,168,Rotselaar,50.943660300000005,4.727930100637183,4449.0,3110.0,Vlaams-Brabant
Da Vinci laan,2,Zaventem,50.8901367,4.4590205,4450.0,1930.0,Vlaams-Brabant
Da Vinci laan,3,Zaventem,50.8881586,4.4595723,4451.0,1930.0,Vlaams-Brabant
Da Vinci laan,9,Zaventem,50.8893519,4.4580797,4452.0,1930.0,Vlaams-Brabant
Da Vinci laan,11,Zaventem,50.8898639,4.457925962445173,4453.0,1930.0,Vlaams-Brabant
Rue Saint Paul,14,Binche,50.4098726,4.1662531,4454.0,7130.0,Hainaut
Rue de la Chapelette,72,Bray,50.4329447,4.087911368177489,4457.0,7130.0,Hainaut
Avenue Wanderpepen ,28,Binche,50.4116639,4.1745521,4458.0,7130.0,Hainaut
Rue du By ,162,Epinois,50.4055411,4.20735,4459.0,7134.0,Hainaut
Avenue Jules Ducobu ,0,Boussu,50.4204639,3.8009038,4462.0,7300.0,Hainaut
Rue Léon Autrique,4,Bruxelles,50.8596196,4.3282019,4463.0,1080.0,Bruxelles-Brussel
Verenigde-Natieslaan ,1,Gent,51.05327735,3.768556195185115,4464.0,9000.0,Oost-Vlaanderen
Grand Rue ,39,Mont-Saint-Guibert,50.6367665,4.612448,4465.0,1435.0,Brabant Wallon
Rue de Fexhe ,76,Milmort,50.6918109,5.5856748,4466.0,4041.0,Liège
Rue de la Crête ,28,Flobecq,50.733247899999995,3.7368016768463326,4468.0,7880.0,Hainaut
Rue de l Eglise,15,Fontaine-Valmont,50.321963249999996,4.213401929024325,4469.0,6567.0,Hainaut
Rue du Bois ,44,Pironchamps,50.4333106,4.5311099,,6240.0,Hainaut
Avenue de la Rénovation ,8,Fernelmont,50.5522653,4.977932791699073,4470.0,5380.0,Namur
Raadsherenstraat ,2,Turnhout,51.30629955,4.917421359938874,4471.0,2300.0,Antwerpen
Rue de la Fontaine ,76,Visé,50.73558105,5.7020380257528505,4472.0,4600.0,Liège
Boulevard Roosevelt ,27,Soignies,50.5703765,4.0654475,4474.0,7060.0,Hainaut
Rue du Seminaire,7,Floreffe,50.4323969,4.758832316945357,4476.0,5150.0,Namur
Rue de Wavre,60,Bierges,50.721660299999996,4.58053594642731,4477.0,1301.0,Brabant Wallon
Rue des Augustins,30,Tournai,50.609137,3.3805668,4478.0,7500.0,Hainaut
Rue de Ciney ,0,Rochefort,50.1733542,5.2110685,4479.0,5580.0,Namur
Rue d Awans ,5,Grâce-Hollogne,50.6578799,5.4449674,4480.0,4460.0,Liège
Rue du Village,13,Moresnet,50.719968,5.9853662,4481.0,4850.0,Liège
Rue de Heigne,6,Viesville,50.4806016,4.409445275956424,4482.0,6230.0,Hainaut
Rue Dernier Patard,0,Baisy-thy,50.5770782,4.454107,4483.0,1470.0,Brabant Wallon
Chemin Morel ,71,Saint-Mard,49.551263500000005,5.528997711057363,4485.0,6762.0,Luxembourg
Rue du Roi Albert,10,Dour,50.3979228,3.7764209,4487.0,7370.0,Hainaut
Rue des Français,49,Péruwelz,50.51306205,3.5925087217324982,4488.0,7600.0,Hainaut
Rue du Berceau,5,Péruwelz,50.5034084,3.5915503,4489.0,7600.0,Hainaut
Rue Flament ,1,Péruwelz,50.5113953,3.5904455,4490.0,7600.0,Hainaut
Rue Darchis ,35,Liège,50.6371833,5.5667872,4491.0,4000.0,Liège
Avenue Franklin,5,Wavre,50.7352425,4.5835875,4492.0,1300.0,Brabant Wallon
Place de la Station ,12,Frasnes-lez-Buissenal,50.6632246,3.614613,4493.0,7911.0,Hainaut
Avenue du Castillon ,71,Chastre,50.6106351,4.6446747,4494.0,1450.0,Brabant Wallon
Industrieweg ,18,Boom,51.101031,4.354566482017134,4495.0,2850.0,Antwerpen
Rue Tombeek ,30,Rosières,50.74369315,4.55900672415382,4497.0,1331.0,Brabant Wallon
Rue Nicolas Baudine ,10,Braine-le-Château,50.6713018,4.2400699500000005,4498.0,1440.0,Brabant Wallon
Chaussée Longchamps ,2,Wavre,50.7282222,4.6352757,4499.0,1300.0,Brabant Wallon
Place du Bicentenaire ,0,Haulchin,50.3831006,4.0825036,4501.0,7120.0,Hainaut
Boulevard d Avroy,42,Liège,50.63843985,5.567650323409733,4503.0,4000.0,Liège
Spanjestraat ,181,Roeselare,50.94628945,3.1402354,4504.0,8800.0,West-Vlaanderen
Izegemseaardeweg ,30,Roeselare,50.9665772,3.145076628315162,4505.0,8800.0,West-Vlaanderen
Rue de Marbais ,37,Villers-la-Ville,50.5724804,4.534609422068174,4508.0,1495.0,Brabant Wallon
Rue Haute ,11,Merbes-le-Château,50.325684,4.1619901,4509.0,6567.0,Hainaut
Rue Neuve,75,Montignies-sur-Sambre,50.4094457,4.455500221493285,4509.0,6061.0,Hainaut
Boulevard de l impératrice ,13,Bruxelles,50.8462062,4.3569529,4511.0,1000.0,Bruxelles-Brussel
Rue Américaine ,101,Bruxelles,50.8229527,4.3594742,4512.0,1050.0,Bruxelles-Brussel
Rue Granbonpré ,11,Mont-Saint-Guibert,50.6620834,4.6410676,4514.0,1435.0,Brabant Wallon
Leo Baekelandstraat,5,Kapellen,51.29799735,4.434682689658731,4516.0,2950.0,Antwerpen
Vlamingstraat,28,Wevelgem,50.80985285,3.210433605380472,4518.0,8560.0,West-Vlaanderen
