id,address,number,postal_code,municipality,province
9923.0,Avenure de Tervueren ,179.0,1150.0,Bruxelles,Bruxelles-Brussel
9924.0,Avenure de Tervueren ,179.0,1150.0,Bruxelles,Bruxelles-Brussel
9925.0,Avenure de Tervueren ,179.0,1150.0,Bruxelles,Bruxelles-Brussel
9926.0,Avenure de Tervueren ,179.0,1150.0,Bruxelles,Bruxelles-Brussel
9927.0,Avenure de Tervueren ,179.0,1150.0,Bruxelles,Bruxelles-Brussel
9928.0,Avenure de Tervueren ,179.0,1150.0,Bruxelles,Bruxelles-Brussel
9929.0,Avenure de Tervueren ,179.0,1150.0,Bruxelles,Bruxelles-Brussel
9930.0,Avenure de Tervueren ,179.0,1150.0,Bruxelles,Bruxelles-Brussel
9931.0,Avenue Louise ,24.0,1050.0,Bruxelles,Bruxelles-Brussel
9932.0,Avenue Louise ,24.0,1050.0,Bruxelles,Bruxelles-Brussel
9933.0,Avenue Louise ,24.0,1050.0,Bruxelles,Bruxelles-Brussel
9934.0,Rue des colonies,1.0,1000.0,Bruxelles,Bruxelles-Brussel
9935.0,Rue des colonies,1.0,1000.0,Bruxelles,Bruxelles-Brussel
9936.0,Rue des colonies,1.0,1000.0,Bruxelles,Bruxelles-Brussel
9937.0,Rue des colonies,1.0,1000.0,Bruxelles,Bruxelles-Brussel
9938.0,Bvd Léopold,285.0,1081.0,Bruxelles,Bruxelles-Brussel
9939.0,Bvd Léopold,285.0,1081.0,Bruxelles,Bruxelles-Brussel
9940.0,Bvd Léopold,285.0,1081.0,Bruxelles,Bruxelles-Brussel
9941.0,Bvd Léopold,285.0,1081.0,Bruxelles,Bruxelles-Brussel
9942.0,Bvd Léopold,285.0,1081.0,Bruxelles,Bruxelles-Brussel
9943.0,Bvd Léopold,285.0,1081.0,Bruxelles,Bruxelles-Brussel
9944.0,Bvd Léopold,285.0,1081.0,Bruxelles,Bruxelles-Brussel
9945.0,Chaussée de Ninove ,3028.0,1080.0,Bruxelles,Bruxelles-Brussel
9946.0,Chaussée de Ninove ,3028.0,1080.0,Bruxelles,Bruxelles-Brussel
9947.0,Chaussée de Ninove ,3028.0,1080.0,Bruxelles,Bruxelles-Brussel
9948.0,Chaussée de Ninove ,3028.0,1080.0,Bruxelles,Bruxelles-Brussel
9949.0,Chaussée de Ninove ,3028.0,1080.0,Bruxelles,Bruxelles-Brussel
9950.0,Chaussée de Ninove ,3028.0,1080.0,Bruxelles,Bruxelles-Brussel
9951.0,Chaussée de Ninove ,3028.0,1080.0,Bruxelles,Bruxelles-Brussel
9952.0,Place de la Bourse,3.0,1000.0,Bruxelles,Bruxelles-Brussel
