id,address,number,municipality,latitude,longitude,postal_code,province
1773.0,Smalle Heerweg,29,Oostakker,,,9041.0,Oost-Vlaanderen
1774.0,Wegvoeringstraat,21,Wetteren,51.007575599999996,3.887197326921682,9230.0,Oost-Vlaanderen
1775.0,Arbedkaai,3,Sint-Kruis-Winkel,51.1522007,3.7854123,9042.0,Oost-Vlaanderen
1776.0,Electronicalaan,0,Wilrijk,,,2610.0,Antwerpen
1777.0,Dynamicalaan,18,Wilrijk,51.1563422,4.3779183,2610.0,Antwerpen
1778.0,Terbekenhofdreef,30,Wilrijk,,,2610.0,Antwerpen
1779.0,Rooienberg,0,Duffel,51.0958669,4.4905578,2570.0,Antwerpen
1781.0,Ralisweg,17,Tielt,50.9403044,4.911018775563081,3390.0,Vlaams-Brabant
1782.0,Aalstersestraat,142,Wieze,50.9821687,4.0960731,9280.0,Oost-Vlaanderen
1783.0,L. Van Regenmortellei,6,Borsbeek,,,2150.0,Antwerpen
1784.0,Dijleweg ,0,Rijmenam,51.0008423,4.5829482,2820.0,Antwerpen
1785.0,Mechelsbroekstraat,4,Bonheiden,51.02759675,4.5231234,2820.0,Antwerpen
1786.0,Morrensplein,10,Bonheiden,51.025128699999996,4.548746938414423,2820.0,Antwerpen
1787.0,Eisenhouwerlaan,0,Bonheiden,,,2820.0,Antwerpen
1788.0,Waversesteenweg,0,Bonheiden,51.0377398,4.5517811,2820.0,Antwerpen
1789.0,St. Maartensberg ,0,Bonheiden,51.0011909,4.5841113,2820.0,Antwerpen
1791.0,Covelierstraat,15,Berchem,,,2600.0,Antwerpen
1792.0,Kortrijksesteenweg,0,Gent,51.0201888,3.684179,9051.0,Oost-Vlaanderen
1793.0,Rue du Château,0,Seilles,50.4951118,5.0780067,5300.0,Namur
1794.0,Rue du Val Notre Dame,300,Moha,50.5574127,5.177240522926878,4520.0,Liège
1795.0,Route de Ramioul,1,Engis,50.5807565,5.4134132,4480.0,Liège
1796.0,Rue du Château,13,SEILLES,50.49722265,5.07689214341676,5300.0,Namur
1797.0,Rue de la Chavée,57,Frasnes,50.0816661,4.496834368847656,5660.0,Namur
1809.0,Rue du Commerce,19,Nivelles,50.58897945,4.365517480961573,1400.0,Brabant Wallon
1810.0,Liefdestraat,10,Tienen,50.8082452,4.9443196,3300.0,Vlaams-Brabant
1811.0,Meester van der Borghtstraat,150,Putte,51.02706165,4.656230056113564,2580.0,Antwerpen
1813.0,Sportstraat,1,Gistel,51.16092175,2.9656669484754845,8470.0,West-Vlaanderen
91814.0,Oude Dyck,1,Beveren-Waas,,,9130.0,Oost-Vlaanderen
1815.0,Oude Liersebaan,4,Malle,51.2745056,4.644915133470479,2390.0,Antwerpen
1816.0,Oude Liersebaan,4,MALLE,51.2745056,4.644915133470479,2390.0,Antwerpen
1817.0,Oude Liersebaan,4,MALLE,51.2745056,4.644915133470479,2390.0,Antwerpen
1818.0,Oude Liersebaan,4,MALLE,51.2745056,4.644915133470479,2390.0,Antwerpen
1820.0,Rubensstraat,160,Turnhout,51.31411335,4.943737007632642,2300.0,Antwerpen
1823.0,Excelsiorlaan,71,Zaventem,50.884166699999994,4.455765873001614,1930.0,Vlaams-Brabant
1824.0,Square de Meeus,23,Bruxelles,50.8400151,4.3702099,1000.0,Bruxelles-Brussel
1825.0,Grand Route,287,Flémalle,50.5991141,5.4701676,4400.0,Liège
1826.0,Rue du Village,183,Flémalle,50.6000691,5.472362868465752,4400.0,Liège
1827.0,Rue des Ecoles,6,Lincent,50.71490385,5.032431469018407,4287.0,Liège
1828.0,Rue de la Loi,22,Bruxelles,50.8459087,4.3673987,1000.0,Bruxelles-Brussel
1829.0,Rue du Nord Belge,11,Amay,50.543385549999996,5.318887163519102,4540.0,Liège
1830.0,Chaussée de Tongres,235,Amay,50.5581524,5.3057366,4540.0,Liège
1831.0,Rue Entre Deux Tours,3,Amay,50.54893045,5.3173739942482925,4540.0,Liège
